 clientNum   hotelType    Budget   events
1  3   4387   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
2  4   6356   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
3  5   3401   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
4  5   7656   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
5  5   9852   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
6  5   4737   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
7  3   4204   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
8  5   3360   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
9  4   5009   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
10  4   9230   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
11  5   6816   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
12  4   6037   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
13  5   3287   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
14  3   3534   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
15  4   3779   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
16  3   7659   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
17  4   6080   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
18  5   9016   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
19  3   7371   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
20  4   9518   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
21  4   5058   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
22  4   3766   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
23  3   3795   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
24  4   3022   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
25  4   8352   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
26  3   7451   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
27  4   9753   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
28  5   8763   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
29  4   6049   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
30  3   9190   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
31  4   4640   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
32  5   6212   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
33  5   3036   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
34  3   3549   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
35  3   5729   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
36  4   4665   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
37  3   5264   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
38  5   5387   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
39  5   3473   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
40  4   9513   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
41  5   3152   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
42  4   9332   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
43  4   5041   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
44  4   3868   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
45  5   7611   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
46  3   7350   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
47  3   5409   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
48  5   3780   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
49  3   9109   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
50  3   9755   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
51  4   3052   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
52  5   6616   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
53  5   5414   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
54  4   9837   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
55  3   3929   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
56  4   3628   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
57  4   5371   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
58  4   5398   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
59  4   6123   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
60  3   8520   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
61  3   5393   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
62  5   6776   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
63  4   6391   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
64  5   8661   { 4, 6, 0, 0, 14, 13, 5, 2, 4, 12,  }
